title,company,location,link
2021년도 국가정보원 연계형 인턴 선발,국가정보원,서울 서초구,https://kr.indeed.com/rc/clk?jk=668a66da41da83d3&fccid=a8313776197f34ac&vjs=3
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=55584c627df1acaa&fccid=ebcd554962f400ec&vjs=3
"빅데이터, 인공지능(AI) 외 신입/경력 인턴",스칼라웍스,대한민국,https://kr.indeed.com/rc/clk?jk=dfb20fa220f3c478&fccid=d1224297334bfd66&vjs=3
2021년 2월 경력사원 (Battery연구소),LG에너지솔루션,대전 유성구,https://kr.indeed.com/rc/clk?jk=31c20e6695f301ee&fccid=e3653632e61fd408&vjs=3
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/rc/clk?jk=9fe4755841bec8ce&fccid=99925e8e7b9604cc&vjs=3
소만사 2021년 각 부문 신입/경력,소만사,서울 영등포구,https://kr.indeed.com/rc/clk?jk=c5c5dd8fb971d95f&fccid=a74d5e80c6b6c618&vjs=3
2021 토스 전 계열사 대규모,비바리퍼블리카,서울 강남구,https://kr.indeed.com/rc/clk?jk=39e99c8ed1d40a8f&fccid=17dc934b27d58446&vjs=3
[한국자산평가] 인턴,한국자산평가,서울 종로구,https://kr.indeed.com/rc/clk?jk=c19bec245c6f1815&fccid=413114278f3d6174&vjs=3
인프라보안,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=aa4f54d9c677fd73&fccid=a72ebaf825acf7af&vjs=3
솔루션 엔지니어 (Network Infra),글로벌 네트워크 회사,서울 강남구,https://kr.indeed.com/company/Aims-International/jobs/%EC%86%94%EB%A3%A8%EC%85%98-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-c52b13ca64b943c1?fccid=def328ffc9620ff6&vjs=3
MI(Market Intelligence)담당 마케팅 전략 경력사원,LG전자,서울 영등포구,https://kr.indeed.com/rc/clk?jk=54e0d08c99dcf507&fccid=9702ca14c9a11940&vjs=3
Data Scientist/Data Engineering 경력사원 공고,LG전자,서울특별시,https://kr.indeed.com/rc/clk?jk=8fd83c6a728843c0&fccid=9702ca14c9a11940&vjs=3
PostgreSQL 운영 및 데이터베이스 관리자 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=c39d18040425ef53&fccid=32b9af632cf3b9f9&vjs=3
Field Service Engineer,Nearfield Instruments,대한민국,https://kr.indeed.com/rc/clk?jk=89f3e10d77a126bf&fccid=d1f76f33badbaf8a&vjs=3
[Search] [Vision] Computer Vision Engineer 신입/경력사원,네이버,서울,https://kr.indeed.com/rc/clk?jk=f9dcc4b277dfcebc&fccid=412ff571bced2587&vjs=3
[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=44c01463235ebade&fccid=6e2a9dddd86c4648&vjs=3
광학솔루션사업부 신입 석/박사 수시(R&D분야),LG이노텍,경기도 안산,https://kr.indeed.com/rc/clk?jk=a54f7baa4f06f4c1&fccid=6ecf392a15407b3e&vjs=3
2021년 IITP 주관 글로벌핵심인재양성 지원사업,정보통신기획평가원,대전 유성구,https://kr.indeed.com/rc/clk?jk=efb69a29d8bd7514&fccid=0c77e931bbae40ba&vjs=3
(주)신세계아이앤씨 경력사원 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/rc/clk?jk=b5b88516a299bbb2&fccid=7009e9adee12ff99&vjs=3
파이썬 신입 개발자 (정규직),쇼엠,인천 연수구,https://kr.indeed.com/rc/clk?jk=144c42a3c09caa9b&fccid=8b1060456d9ea653&vjs=3
Data Scientist (KOREA),No Deviation Pte Ltd,충청북도 청주,https://kr.indeed.com/company/NO-DEVIATION-PTE.-LTD./jobs/Data-Scientist-0d207415a075d21c?fccid=1685f7430879dfc6&vjs=3
2021년도 국토안전관리원 제기간제 근로자변경,국토안전관리원,경기도,https://kr.indeed.com/rc/clk?jk=b69f6c139efeb09d&fccid=bcb5ecbf630eb0fa&vjs=3
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/rc/clk?jk=4adac8923476d038&fccid=bab92f71c1e85edd&vjs=3
[Garage] Data Engineer,IBM,서울,https://kr.indeed.com/rc/clk?jk=a24eee6864638bc4&fccid=de71a49b535e21cb&vjs=3
와이에스지(스타트업)에서 웹 개발자,와이에스지,대한민국,https://kr.indeed.com/rc/clk?jk=7747cb66f47189c1&fccid=a0776cb17b2784f5&vjs=3
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eeb9fe1c361f0758&fccid=aba87288e4cc3687&vjs=3
2021 Global Data Internship - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=18f62dc644a89e0c&fccid=f770da67b3b51c62&vjs=3
Operation Buyer(Contractor),Edwards Korea Ltd,충청남도 천안,https://kr.indeed.com/rc/clk?jk=5fe7667a0deebbba&fccid=5ea45583d6e2743c&vjs=3
Software Engineer,Google,서울,https://kr.indeed.com/rc/clk?jk=e7c8c2b11f24fb43&fccid=a5b4499d9e91a5c6&vjs=3
[타다]데이터 분석가/사이언티스트,쏘카,대한민국,https://kr.indeed.com/rc/clk?jk=3330430ae94277db&fccid=ebcd554962f400ec&vjs=3
DevOps Developer,IBM,서울,https://kr.indeed.com/rc/clk?jk=0b9b89d4aca5a012&fccid=de71a49b535e21cb&vjs=3
"Engr, Tech Supp 3",KLA-Tencor,대한민국,https://kr.indeed.com/rc/clk?jk=233bbfd9781e846d&fccid=c8fc142c28286059&vjs=3
NLP Engineer for AI Startup (remote),MIND AI,서울,https://kr.indeed.com/company/JNP-LAB/jobs/Nlp-Engineer-Ai-Startup-a22173d071050949?fccid=5cde252d550394d2&vjs=3
AI 분야 박사 신입/경력,LG CNS,서울특별시,https://kr.indeed.com/rc/clk?jk=c8bf4fa58999927f&fccid=9635ff240e3de5f6&vjs=3
"빅데이터, Python 외 신입 정규직",주)씽크풀,서울 영등포구,https://kr.indeed.com/rc/clk?jk=f91bdb1160ad64d2&fccid=3254e385986adc64&vjs=3
스테코 부문별 신입 및 경력사원,스테코,천안 서북구,https://kr.indeed.com/rc/clk?jk=df607996134e60ff&fccid=eaff5feec88e83e3&vjs=3
(주)바이오니아 2021년도 바이오인포메틱스 부문,바이오니아,대전 대덕구,https://kr.indeed.com/rc/clk?jk=f3fcf50f5f932511&fccid=f1ed834d488bb747&vjs=3
[우수훈련기관]전액무료 IT교육받고 취업하자,휴먼교육센터,청주 흥덕구,https://kr.indeed.com/rc/clk?jk=8188fd96cce5bddc&fccid=47930bf87393d845&vjs=3
전사 생산기술분야 경력사원,LG이노텍,경기도 평택,https://kr.indeed.com/rc/clk?jk=7d85656bf08b8bf2&fccid=6ecf392a15407b3e&vjs=3
"네모파트너즈비에이 데이터 분석가 신입,경력",네모파트너즈비에이,서울 영등포구,https://kr.indeed.com/rc/clk?jk=3fbbb0a082dd1ff9&fccid=b389256e3a4fa634&vjs=3
Field Application Engineer,Nearfield Instruments,대한민국,https://kr.indeed.com/rc/clk?jk=6aebabcddef7f514&fccid=d1f76f33badbaf8a&vjs=3
(주)푸드머스 고객 데이터분석/기획 경력채용,풀무원,서울특별시,https://kr.indeed.com/rc/clk?jk=2adee76aff2a0781&fccid=39853bfa2ab5ab84&vjs=3
데이터 사이언스(데이터 모델링 및 추천 모델링),NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=da5c549bf1a76ded&fccid=a72ebaf825acf7af&vjs=3
